declarationNumber,declarationType,declarationDate,state,county,incidentType,incidentTitle,startDate,endDate,closeDate,individualAssistanceProgram,individualsAndHouseholdsProgram,publicAssistanceProgram,hazardMitigationProgram,year,month
DR-1018,Disaster,1994-03-16,KY,Logan County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,McCreary County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Madison County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Magoffin County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Marion County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Martin County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Menifee County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Mercer County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Metcalfe County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Monroe County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Montgomery County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Morgan County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Muhlenberg County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Nelson County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Nicholas County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Owsley County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Perry County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Powell County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Pulaski County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Rockcastle County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Rowan County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Russell County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Simpson County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Taylor County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Todd County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Trigg County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Warren County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Washington County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Wayne County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Whitley County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1018,Disaster,1994-03-16,KY,Wolfe County,Snow,"Severe Weather, Freezing Rain, Sleet, Snw",02/09/1994,02/11/1994,03/16/2006,No,No,Yes,Yes,1994,3
DR-1019,Disaster,1994-03-30,AL,Calhoun County,Storm,"Severe Storms, Tornado, and Flooding",03/27/1994,04/10/1994,07/11/2005,Yes,No,Yes,Yes,1994,3
DR-1019,Disaster,1994-03-30,AL,Cherokee County,Storm,"Severe Storms, Tornado, and Flooding",03/27/1994,04/10/1994,07/11/2005,Yes,No,Yes,Yes,1994,3
DR-1019,Disaster,1994-03-30,AL,DeKalb County,Storm,"Severe Storms, Tornado, and Flooding",03/27/1994,04/10/1994,07/11/2005,Yes,No,Yes,Yes,1994,3
DR-1019,Disaster,1994-03-30,AL,Marion County,Storm,"Severe Storms, Tornado, and Flooding",03/27/1994,04/10/1994,07/11/2005,Yes,No,Yes,Yes,1994,3
DR-1019,Disaster,1994-03-30,AL,Marshall County,Storm,"Severe Storms, Tornado, and Flooding",03/27/1994,04/10/1994,07/11/2005,Yes,No,Yes,Yes,1994,3
DR-1019,Disaster,1994-03-30,AL,St. Clair County,Storm,"Severe Storms, Tornado, and Flooding",03/27/1994,04/10/1994,07/11/2005,Yes,No,Yes,Yes,1994,3
DR-1019,Disaster,1994-03-30,AL,Shelby County,Storm,"Severe Storms, Tornado, and Flooding",03/27/1994,04/10/1994,07/11/2005,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Bartow County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Catoosa County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Cherokee County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Floyd County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Habersham County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Lumpkin County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Murray County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Pickens County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Rabun County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Walker County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,White County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1020,Disaster,1994-03-31,GA,Whitfield County,Tornado,"Tornadoes, Flooding, and Severe Storms",03/27/1994,04/10/1994,02/17/2004,Yes,No,Yes,Yes,1994,3
DR-1021,Disaster,1994-04-11,VA,Emporia,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Radford,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Albemarle County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Amherst County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Appomattox County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Augusta County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Bedford County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Buckingham County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Campbell County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Caroline County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Charlotte County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Craig County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Culpeper County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Fauquier County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Fluvanna County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Franklin County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Goochland County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Greene County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Hanover County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Henry County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Highland County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Louisa County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Madison County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Montgomery County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Nelson County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Orange County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Patrick County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Pittsylvania County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Prince Edward County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Pulaski County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Rappahannock County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Roanoke County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1021,Disaster,1994-04-11,VA,Spotsylvania County,Storm,Severe Winter Ice Storm,03/01/1994,03/05/1994,07/22/2002,No,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Blount County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Bradley County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Cocke County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Grainger County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Hamblen County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Hamilton County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Hawkins County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Jefferson County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Johnson County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,McMinn County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Marion County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Monroe County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Polk County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Putnam County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Sevier County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Unicoi County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1022,Disaster,1994-04-14,TN,Van Buren County,Flood,Extensive Rainfall and Flash Flooding,03/25/1994,04/03/1994,07/03/2007,Yes,No,Yes,Yes,1994,4
DR-1023,Disaster,1994-04-21,MO,St. Louis,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Barry County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Callaway County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Clay County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Cole County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Franklin County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Jefferson County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Lincoln County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Morgan County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Pemiscot County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Phelps County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Pulaski County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Reynolds County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,St. Charles County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,St. Louis County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Shannon County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Vernon County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1023,Disaster,1994-04-21,MO,Washington County,Storm,"Severe Storms, Tornadoes, Flooding",04/09/1994,05/05/1994,11/04/2003,Yes,No,No,No,1994,4
DR-1024,Disaster,1994-04-21,OK,Ottawa County,Storm,Severe Storms and Flooding,04/11/1994,05/04/1994,02/22/2000,Yes,No,No,No,1994,4
DR-1025,Disaster,1994-04-26,IL,Alexander County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Calhoun County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Cass County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Champaign County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,De Witt County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Douglas County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Greene County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Iroquois County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Jersey County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Mason County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Menard County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Monroe County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Piatt County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,St. Clair County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Sangamon County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1025,Disaster,1994-04-26,IL,Vermilion County,Storm,Severe Storms and Flooding,04/09/1994,05/04/1994,07/06/2005,Yes,No,Yes,Yes,1994,4
DR-1026,Disaster,1994-04-29,TX,Cooke County,Storm,Severe Storms and Tornadoes,04/25/1994,05/04/1994,06/29/1999,Yes,No,No,No,1994,4
DR-1026,Disaster,1994-04-29,TX,Dallas County,Storm,Severe Storms and Tornadoes,04/25/1994,05/04/1994,06/29/1999,Yes,No,No,No,1994,4
DR-1026,Disaster,1994-04-29,TX,Lamar County,Storm,Severe Storms and Tornadoes,04/25/1994,05/04/1994,06/29/1999,Yes,No,No,No,1994,4
DR-1027,Disaster,1994-05-09,NE,Buffalo County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Custer County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Dawson County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Frontier County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Furnas County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Garfield County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Gosper County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Harlan County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Hayes County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Hitchcock County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Lincoln County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Phelps County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Red Willow County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Sherman County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1027,Disaster,1994-05-09,NE,Valley County,Snow,Severe Snow and Ice Storm,04/10/1994,04/13/1994,08/29/2006,No,No,Yes,Yes,1994,5
DR-1028,Disaster,1994-05-10,MI,Charlevoix County,Winter,Severe Deep Freeze,01/10/1994,06/10/1994,04/12/1999,No,No,Yes,Yes,1994,5
DR-1028,Disaster,1994-05-10,MI,Cheboygan County,Winter,Severe Deep Freeze,01/10/1994,06/10/1994,04/12/1999,No,No,Yes,Yes,1994,5
DR-1028,Disaster,1994-05-10,MI,Chippewa County,Winter,Severe Deep Freeze,01/10/1994,06/10/1994,04/12/1999,No,No,Yes,Yes,1994,5
DR-1028,Disaster,1994-05-10,MI,Delta County,Winter,Severe Deep Freeze,01/10/1994,06/10/1994,04/12/1999,No,No,Yes,Yes,1994,5
DR-1028,Disaster,1994-05-10,MI,Gogebic County,Winter,Severe Deep Freeze,01/10/1994,06/10/1994,04/12/1999,No,No,Yes,Yes,1994,5
DR-1028,Disaster,1994-05-10,MI,Houghton County,Winter,Severe Deep Freeze,01/10/1994,06/10/1994,04/12/1999,No,No,Yes,Yes,1994,5
