declarationNumber,declarationType,declarationDate,year,month,quarter,day,dayOfWeek,state,stateName,region,county,incidentType,disasterTitle,startDate,endDate,closeDate
DR-816,Disaster,1988-10-05,1988.0,10.0,4.0,5.0,Wednesday,TX,Texas,South,Bexar County,Hurricane,Hurricane Gilbert,,,1991-06-04
DR-818,Disaster,1988-12-02,1988.0,12.0,4.0,2.0,Friday,NC,North Carolina,South,Currituck County,Tornado,Severe Storms and Tornadoes,,,
DR-824,Disaster,1989-05-08,1989.0,5.0,2.0,8.0,Monday,MN,Minnesota,Midwest,Clay County,Flood,Flooding,,1989-05-08,1999-03-01
DR-825,Disaster,1989-05-08,1989.0,5.0,2.0,8.0,Monday,ND,North Dakota,Midwest,Cass County,Flood,Flooding,,1989-05-08,
DR-826,Disaster,1989-05-10,1989.0,5.0,2.0,10.0,Wednesday,AK,Alaska,West,Aleutian Islands Census Subarea,Winter,Severe Freezing,,,
DR-830,Disaster,1989-06-07,1989.0,6.0,2.0,7.0,Wednesday,ME,Maine,Northeast,Androscoggin County,Flood,Severe Storms and Flooding,1989-05-05,,
DR-831,Disaster,1989-06-10,1989.0,6.0,2.0,10.0,Saturday,OH,Ohio,Midwest,Butler County,Flood,Severe Storms and Flooding,,,
DR-832,Disaster,1989-06-10,1989.0,6.0,2.0,10.0,Saturday,AK,Alaska,West,Bethel Census Area,Flood,Flooding,1989-05-01,1989-06-10,
DR-840,Disaster,1989-09-11,1989.0,9.0,3.0,11.0,Monday,VT,Vermont,Northeast,Addison County,Flood,Severe Storms and Flooding,1989-08-04,1989-08-05,2002-02-05
DR-847,Disaster,1989-11-08,1989.0,11.0,4.0,8.0,Wednesday,VA,Virginia,South,Buchanan County,Flood,"Severe Storms, Mudslides and Flooding",,,2001-08-03
DR-850,Disaster,1990-01-09,1990.0,1.0,1.0,9.0,Tuesday,TX,Texas,South,Cameron County,Winter,Severe Freeze,,,
DR-854,Disaster,1990-02-05,1990.0,2.0,1.0,5.0,Monday,MP,Northern Mariana Islands,Territory,Northern Islands Municipality,Typhoon,Typhoon Koryn,,,1999-04-12
DR-855,Disaster,1990-02-09,1990.0,2.0,1.0,9.0,Friday,AS,American Samoa,Territory,Eastern District,Hurricane,Hurricane Ofa,1990-02-02,1990-02-12,
DR-860,Disaster,1990-03-06,1990.0,3.0,1.0,6.0,Tuesday,IL,Illinois,Midwest,Champaign County,Ice,Severe Ice Storm,,,
DR-862,Disaster,1990-04-03,1990.0,4.0,2.0,3.0,Tuesday,FL,Florida,South,Bay County,Flood,Severe Storms and Flooding,,1990-04-09,1996-06-12
DR-863,Disaster,1990-05-02,1990.0,5.0,2.0,2.0,Wednesday,TX,Texas,South,Anderson County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
DR-869,Disaster,1990-06-04,1990.0,6.0,2.0,4.0,Monday,IN,Indiana,Midwest,Brown County,Storm,"Severe Storms, Tornadoes, and Flooding",,,2002-08-02
DR-870,Disaster,1990-06-06,1990.0,6.0,2.0,6.0,Wednesday,OH,Ohio,Midwest,Athens County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
DR-873,Disaster,1990-07-04,1990.0,7.0,3.0,4.0,Wednesday,NE,Nebraska,Midwest,Boone County,Storm,"Severe Storms, Tornadoes, and Flooding",1990-06-10,,2002-04-02
DR-879,Disaster,1990-09-06,1990.0,9.0,3.0,6.0,Thursday,IA,Iowa,Midwest,Black Hawk County,Flood,Severe Storms and Flooding,,,
DR-884,Disaster,1990-12-06,1990.0,12.0,4.0,6.0,Thursday,AZ,Arizona,West,Gila Bend Indian Reservation,Flood,Severe Storms and Flooding,1990-07-08,,
DR-885,Disaster,1990-12-06,1990.0,12.0,4.0,6.0,Thursday,IN,Indiana,Midwest,Lake County,Flood,Severe Storms and Flooding,,,
DR-888,Disaster,1991-01-03,1991.0,1.0,1.0,3.0,Thursday,MS,Mississippi,South,Carroll County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
DR-889,Disaster,1991-01-04,1991.0,1.0,1.0,4.0,Friday,TN,Tennessee,South,Anderson County,Flood,Severe Storms and Flooding,,,
DR-890,Disaster,1991-01-04,1991.0,1.0,1.0,4.0,Friday,AL,Alabama,South,Colbert County,Flood,Severe Storms and Flooding,,,
DR-891,Disaster,1991-01-05,1991.0,1.0,1.0,5.0,Saturday,IN,Indiana,Midwest,Adams County,Flood,Severe Storms and Flooding,,,
DR-894,Disaster,1991-02-11,1991.0,2.0,1.0,11.0,Monday,CA,California,West,Alameda County,Winter,Severe Freeze,,1991-01-03,
DR-895,Disaster,1991-03-05,1991.0,3.0,1.0,5.0,Tuesday,MS,Mississippi,South,Adams County,Flood,Severe Storms and Flooding,,,
DR-896,Disaster,1991-03-08,1991.0,3.0,1.0,8.0,Friday,WA,Washington,West,Island County,Flood,Severe Storms and High Tides,,,
DR-900,Disaster,1991-04-12,1991.0,4.0,2.0,12.0,Friday,TX,Texas,South,Brazoria County,Storm,"Severe Storms, Tornadoes, and Flooding",1991-04-05,1991-04-06,
DR-904,Disaster,1991-05-03,1991.0,5.0,2.0,3.0,Friday,LA,Louisiana,South,Assumption Parish,Storm,"Severe Storms, Tornadoes, and Flooding",,,
DR-905,Disaster,1991-05-08,1991.0,5.0,2.0,8.0,Wednesday,OK,Oklahoma,South,Garfield County,Tornado,Severe Storms and Tornadoes,,,
DR-911,Disaster,1991-07-12,1991.0,7.0,3.0,12.0,Friday,IA,Iowa,Midwest,Black Hawk County,Flood,Severe Storms and Flooding,1991-06-01,,2005-08-02
DR-912,Disaster,1991-08-06,1991.0,8.0,3.0,6.0,Tuesday,WI,Wisconsin,Midwest,Dane County,Storm,Severe Storms and Hail,1991-07-07,1991-07-07,1998-07-09
DR-917,Disaster,1991-09-09,1991.0,9.0,3.0,9.0,Monday,NH,New Hampshire,Northeast,Carroll County,Hurricane,Hurricane Bob and Severe Storms,,,
DR-920,Disaster,1991-11-04,1991.0,11.0,4.0,4.0,Monday,MA,Massachusetts,Northeast,Barnstable County,Storm,Coastal Storm,,1991-11-02,
DR-921,Disaster,1991-11-07,1991.0,11.0,4.0,7.0,Thursday,ME,Maine,Northeast,Cumberland County,Storm,Coastal Storm,,1991-11-02,
DR-924,Disaster,1991-12-04,1991.0,12.0,4.0,4.0,Wednesday,GU,Guam,Territory,Guam County-equivalent,Typhoon,Typhoon Yuri,,,
DR-925,Disaster,1991-12-06,1991.0,12.0,4.0,6.0,Friday,MH,,,Ebeye,Typhoon,Typhoon Zelda,,,
DR-926,Disaster,1991-12-10,1991.0,12.0,4.0,10.0,Tuesday,FM,,,Pingelap Municipality,Typhoon,Typhoon Yuri,,,
DR-933,Disaster,1992-02-06,1992.0,2.0,1.0,6.0,Thursday,DE,Delaware,South,Kent County,Flood,Severe Coastal Storm,1992-01-04,1992-01-05,
DR-932,Disaster,1992-02-07,1992.0,2.0,1.0,7.0,Friday,MH,,,Ebeye,Flood,Tropical Storm Axel,1992-01-06,1992-01-06,
DR-934,Disaster,1992-02-07,1992.0,2.0,1.0,7.0,Friday,FM,,,Pingelap Municipality,Typhoon,Typhoon Axel,1992-01-08,1992-01-10,
DR-936,Disaster,1992-03-03,1992.0,3.0,1.0,3.0,Tuesday,NJ,New Jersey,Northeast,Atlantic County,Storm,Severe Coastal Storm,1992-01-04,1992-01-04,
DR-942,Disaster,1992-05-02,1992.0,5.0,2.0,2.0,Saturday,CA,California,West,Los Angeles County,Fire,Fire During A Period of Civil Unrest,,,2010-08-11
DR-943,Disaster,1992-05-04,1992.0,5.0,2.0,4.0,Monday,CA,California,West,Humboldt County,Earthquake,Earthquake and Aftershocks,,,2010-08-09
DR-947,Disaster,1992-07-02,1992.0,7.0,3.0,2.0,Thursday,CA,California,West,Riverside County,Earthquake,Earthquake and Aftershocks,,,2010-08-06
DR-948,Disaster,1992-07-02,1992.0,7.0,3.0,2.0,Thursday,SD,South Dakota,Midwest,Brookings County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
DR-949,Disaster,1992-07-02,1992.0,7.0,3.0,2.0,Thursday,TX,Texas,South,Carson County,Tornado,Severe Storms and Tornadoes,,,
DR-951,Disaster,1992-08-04,1992.0,8.0,3.0,4.0,Tuesday,OH,Ohio,Midwest,Auglaize County,Storm,"Severe Storms, Tornadoes, and Flooding",1992-07-12,1992-08-01,
DR-959,Disaster,1992-09-02,1992.0,9.0,3.0,2.0,Wednesday,WI,Wisconsin,Midwest,Waushara County,Tornado,Severe Storms and Tornadoes,,,
DR-960,Disaster,1992-09-09,1992.0,9.0,3.0,9.0,Wednesday,TX,Texas,South,Bailey County,Storm,Excessive Rain and Hail,1992-05-01,,1995-09-08
DR-961,Disaster,1992-09-12,1992.0,9.0,3.0,12.0,Saturday,HI,Hawaii,West,Niihau CCD,Hurricane,Hurricane Iniki,1992-09-11,1992-09-11,
DR-965,Disaster,1992-10-02,1992.0,10.0,4.0,2.0,Friday,IA,Iowa,Midwest,Adams County,Flood,Severe Storms and Flooding,,,2005-08-03
DR-966,Disaster,1992-10-08,1992.0,10.0,4.0,8.0,Thursday,FL,Florida,South,Baker County,Storm,"Severe Storms, Tornadoes, and Flooding",1992-10-03,1992-10-04,2004-04-07
DR-969,Disaster,1992-12-01,1992.0,12.0,4.0,1.0,Tuesday,GA,Georgia,South,Carroll County,Tornado,"High Winds, Heavy Rains and Tornadoes",,1992-12-07,2002-04-04
DR-970,Disaster,1992-12-04,1992.0,12.0,4.0,4.0,Friday,TX,Texas,South,Harris County,Tornado,Severe Thunderstorms and Tornadoes,,,
DR-978,Disaster,1993-02-02,1993.0,2.0,1.0,2.0,Tuesday,LA,Louisiana,South,Ascension Parish,Flood,Severe Storms and Flooding,,,1996-03-06
DR-979,Disaster,1993-02-03,1993.0,2.0,1.0,3.0,Wednesday,CA,California,West,Alpine County,Flood,"Severe Winter Storm, Mud and Land Slides, and Flooding",1993-01-05,,2011-02-10
DR-980,Disaster,1993-03-04,1993.0,3.0,1.0,4.0,Thursday,GA,Georgia,South,Bartow County,Tornado,"Tornadoes, High Winds and Heavy Rains",,,
DR-981,Disaster,1993-03-04,1993.0,3.0,1.0,4.0,Thursday,WA,Washington,West,King County,Storm,Severe Storms and High Wind,,,
DR-983,Disaster,1993-04-02,1993.0,4.0,2.0,2.0,Friday,NE,Nebraska,Midwest,Adams County,Flood,Ice Jams and Flooding,1993-03-07,,
DR-984,Disaster,1993-04-02,1993.0,4.0,2.0,2.0,Friday,NY,New York,Northeast,New York County,Human Cause,Explosion at World Trade Center,,,
DR-988,Disaster,1993-05-11,1993.0,5.0,2.0,11.0,Tuesday,ME,Maine,Northeast,Androscoggin County,Flood,"Heavy Rain, Snowmelt, Ice Jams and Flooding",1993-04-09,,1999-04-12
DR-989,Disaster,1993-05-11,1993.0,5.0,2.0,11.0,Tuesday,MO,Missouri,Midwest,Jefferson County,Flood,Severe Storms and Flooding,,,1998-02-12
DR-990,Disaster,1993-05-12,1993.0,5.0,2.0,12.0,Wednesday,VT,Vermont,Northeast,Addison County,Flood,"Heavy Rain, Snowmelt and Flooding",,,
DR-991,Disaster,1993-05-12,1993.0,5.0,2.0,12.0,Wednesday,OK,Oklahoma,South,Adair County,Storm,"Severe Storms, Tornadoes, and Flooding",1993-05-08,,2005-07-08
DR-992,Disaster,1993-06-07,1993.0,6.0,2.0,7.0,Monday,NM,New Mexico,West,Catron County,Flood,Severe Storms and Flooding,1993-01-05,,
DR-993,Disaster,1993-06-11,1993.0,6.0,2.0,11.0,Friday,MN,Minnesota,Midwest,Aitkin County,Storm,"Severe Storms, Tornadoes, and Flooding",1993-05-06,,2009-03-11
DR-994,Disaster,1993-07-02,1993.0,7.0,3.0,2.0,Friday,WI,Wisconsin,Midwest,Adams County,Storm,"Severe Storms, Tornadoes, and Flooding",1993-06-07,,2006-03-07
DR-995,Disaster,1993-07-09,1993.0,7.0,3.0,9.0,Friday,MO,Missouri,Midwest,Jefferson City,Flood,Severe Storms and Flooding,1993-06-10,,
DR-996,Disaster,1993-07-09,1993.0,7.0,3.0,9.0,Friday,IA,Iowa,Midwest,Adair County,Flood,Severe Storms and Flooding,,1993-10-01,
DR-997,Disaster,1993-07-09,1993.0,7.0,3.0,9.0,Friday,IL,Illinois,Midwest,Adams County,Flood,Severe Storms and Flooding,,,
DR-1002,Disaster,1993-09-09,1993.0,9.0,3.0,9.0,Thursday,IN,Indiana,Midwest,Clay County,Storm,Severe Storms and Flooding,,,
DR-1003,Disaster,1993-09-10,1993.0,9.0,3.0,10.0,Friday,NC,North Carolina,South,Dare County,Hurricane,Hurricane Emily,,,
EM-3113,Emergency,1993-09-10,1993.0,9.0,3.0,10.0,Friday,TX,Texas,South,Anderson County,Drought,Extreme Fire Hazard,,,
DR-1006,Disaster,1993-12-01,1993.0,12.0,4.0,1.0,Wednesday,MO,Missouri,Midwest,Bollinger County,Storm,"Severe Storms, Tornadoes, and Flooding",,,
DR-1013,Disaster,1994-03-03,1994.0,3.0,1.0,3.0,Thursday,AL,Alabama,South,Colbert County,Storm,"Severe Winter Storms, Freezing, Flooding",,,
DR-1014,Disaster,1994-03-10,1994.0,3.0,1.0,10.0,Thursday,VA,Virginia,South,Bedford,Snow,"Severe Ice Storms, Flooding",1994-02-08,1994-02-12,
DR-1015,Disaster,1994-03-10,1994.0,3.0,1.0,10.0,Thursday,PA,Pennsylvania,Northeast,Adams County,Storm,Severe Winter Storms,1994-01-04,,
DR-1021,Disaster,1994-04-11,1994.0,4.0,2.0,11.0,Monday,VA,Virginia,South,Emporia,Storm,Severe Winter Ice Storm,1994-03-01,1994-03-05,
DR-1027,Disaster,1994-05-09,1994.0,5.0,2.0,9.0,Monday,NE,Nebraska,Midwest,Buffalo County,Snow,Severe Snow and Ice Storm,1994-04-10,,
DR-1028,Disaster,1994-05-10,1994.0,5.0,2.0,10.0,Tuesday,MI,Michigan,Midwest,Charlevoix County,Winter,Severe Deep Freeze,1994-01-10,1994-06-10,1999-04-12
DR-1032,Disaster,1994-07-01,1994.0,7.0,3.0,1.0,Friday,ND,North Dakota,Midwest,Barnes County,Storm,"Severe Storms, Flooding",1994-03-05,1994-08-05,
DR-1033,Disaster,1994-07-07,1994.0,7.0,3.0,7.0,Thursday,GA,Georgia,South,Baker County,Tornado,"Tornadoes, Flooding Torrential Rain(Trop Storm Alberto)",1994-07-03,,
DR-1034,Disaster,1994-07-08,1994.0,7.0,3.0,8.0,Friday,AL,Alabama,South,Barbour County,Storm,Severe Storms and Flooding (Tropical Storm Alberto),1994-07-02,,
EM-3114,Emergency,1994-07-08,1994.0,7.0,3.0,8.0,Friday,FL,Florida,South,Bay County,Flood,Tropical Storm Alberto,1994-07-02,,
DR-1035,Disaster,1994-07-10,1994.0,7.0,3.0,10.0,Sunday,FL,Florida,South,Bay County,Storm,Severe Storms and Flooding (Tropical Storm Alberto),1994-07-02,,
DR-1036,Disaster,1994-08-02,1994.0,8.0,3.0,2.0,Tuesday,OR,Oregon,West,Clatsop County,Water,The El Nino (The Salmon Industry),1994-05-01,,
DR-1037,Disaster,1994-08-02,1994.0,8.0,3.0,2.0,Tuesday,WA,Washington,West,Clallam County,Water,The El Nino (The Salmon Industry),1994-05-01,,
DR-1040,Disaster,1994-10-06,1994.0,10.0,4.0,6.0,Thursday,MH,,,Majuro County-equivalent,Storm,High Surf and Wave Action,1994-06-09,1994-06-10,2006-03-06
DR-1044,Disaster,1995-01-10,1995.0,1.0,1.0,10.0,Tuesday,CA,California,West,Alameda County,Storm,"Severe Winter Storms, Flooding, Landslides, Mud Flows",1995-01-03,1995-02-10,2012-05-02
DR-1046,Disaster,1995-03-12,1995.0,3.0,1.0,12.0,Sunday,CA,California,West,Alameda County,Storm,"Severe Winter Storms, Flooding Landslides, Mud Flow",,,
DR-1049,Disaster,1995-05-10,1995.0,5.0,2.0,10.0,Wednesday,LA,Louisiana,South,Ward 9 Police Jury Ward,Storm,Severe Storms and Flooding,1995-05-08,,
DR-1051,Disaster,1995-05-12,1995.0,5.0,2.0,12.0,Friday,MS,Mississippi,South,Hancock County,Storm,"Severe Storms, Tornadoes, Flooding",1995-05-08,,
DR-1054,Disaster,1995-06-02,1995.0,6.0,2.0,2.0,Friday,MO,Missouri,Midwest,St. Louis,Storm,"Severe Storms, Tornadoes, Hail, Flooding",,,
DR-1059,Disaster,1995-07-01,1995.0,7.0,3.0,1.0,Saturday,VA,Virginia,South,Bedford,Storm,Severe Storms and Flooding,,1995-07-07,
DR-1060,Disaster,1995-07-12,1995.0,7.0,3.0,12.0,Wednesday,WV,West Virginia,South,Mercer County,Storm,"Severe Storms, Heavy Rains, Flooding, Mudslides",,,
DR-1061,Disaster,1995-08-03,1995.0,8.0,3.0,3.0,Thursday,OR,Oregon,West,Wasco County,Flood,Flooding,1995-07-08,1995-07-09,2000-09-07
EM-3116,Emergency,1995-08-03,1995.0,8.0,3.0,3.0,Thursday,FL,Florida,South,,Hurricane,Hurricane Erin,1995-08-02,1995-08-03,
DR-1062,Disaster,1995-08-10,1995.0,8.0,3.0,10.0,Thursday,FL,Florida,South,Bay County,Hurricane,Hurricane Erin,1995-08-02,1995-08-03,
DR-1066,Disaster,1995-09-01,1995.0,9.0,3.0,1.0,Friday,OK,Oklahoma,South,Alfalfa County,Storm,Severe Storms and Flooding,,1995-08-06,2003-06-04
DR-1069,Disaster,1995-10-04,1995.0,10.0,4.0,4.0,Wednesday,FL,Florida,South,Bay County,Hurricane,Hurricane Opal,1995-10-04,1995-10-11,2007-06-06
DR-1070,Disaster,1995-10-04,1995.0,10.0,4.0,4.0,Wednesday,AL,Alabama,South,Autauga County,Hurricane,Hurricane Opal,1995-10-04,1995-10-08,
DR-1071,Disaster,1995-10-10,1995.0,10.0,4.0,10.0,Tuesday,GA,Georgia,South,Banks County,Hurricane,Hurricane Opal,1995-10-04,1995-10-05,
DR-1077,Disaster,1996-01-03,1996.0,1.0,1.0,3.0,Wednesday,NH,New Hampshire,Northeast,Carroll County,Flood,"Excessive Rainfall, High Winds, and Flooding",,,
DR-1079,Disaster,1996-01-03,1996.0,1.0,1.0,3.0,Wednesday,WA,Washington,West,Chelan County,Storm,"Severe Storms, High Wind, and Flooding",1995-11-07,,
DR-1075,Disaster,1996-01-05,1996.0,1.0,1.0,5.0,Friday,SD,South Dakota,Midwest,Aurora County,Snow,Severe Winter Storm,,,
DR-1078,Disaster,1996-01-05,1996.0,1.0,1.0,5.0,Friday,MN,Minnesota,Midwest,Big Stone County,Snow,"High Winds, Freezing Rain, Heavy Snowfall",,,1999-12-06
DR-1080,Disaster,1996-01-11,1996.0,1.0,1.0,11.0,Thursday,DC,District of Columbia,South,,Storm,Blizzard of 96 (Severe Snow Storm),1996-01-06,1996-01-10,
DR-1081,Disaster,1996-01-11,1996.0,1.0,1.0,11.0,Thursday,MD,Maryland,South,Baltimore,Snow,Blizzard of 96 (Severe Snow Storm),1996-01-06,1996-01-12,
DR-1082,Disaster,1996-01-12,1996.0,1.0,1.0,12.0,Friday,DE,Delaware,South,Kent County,Snow,Blizzard of 96 (Severe Snow Storm),1996-01-06,1996-01-12,
DR-1083,Disaster,1996-01-12,1996.0,1.0,1.0,12.0,Friday,NY,New York,Northeast,Albany County,Snow,Blizzard of 96 (Severe Snow Storm),1996-01-06,1996-01-12,2001-08-03
DR-1099,Disaster,1996-02-09,1996.0,2.0,1.0,9.0,Friday,OR,Oregon,West,Benton County,Flood,"High Winds, Severe  Storms and Flooding",1996-02-04,,
DR-1100,Disaster,1996-02-09,1996.0,2.0,1.0,9.0,Friday,WA,Washington,West,Adams County,Flood,"High Winds, Severe Storms and Flooding",,,
DR-1102,Disaster,1996-02-11,1996.0,2.0,1.0,11.0,Sunday,ID,Idaho,West,Benewah County,Storm,Severe Storms and Flooding,1996-02-06,,
DR-1109,Disaster,1996-04-02,1996.0,4.0,2.0,2.0,Tuesday,IN,Indiana,Midwest,Bartholomew County,Flood,Blizzard of 96,1996-01-06,1996-01-12,1998-07-09
DR-1112,Disaster,1996-05-06,1996.0,5.0,2.0,6.0,Monday,IL,Illinois,Midwest,Adams County,Storm,Severe Storms and Flooding,,,
DR-1116,Disaster,1996-06-01,1996.0,6.0,2.0,1.0,Saturday,MN,Minnesota,Midwest,Aitkin County,Flood,Flooding and Severe Storms,,,2005-03-09
DR-1117,Disaster,1996-06-01,1996.0,6.0,2.0,1.0,Saturday,KY,Kentucky,South,Bullitt County,Storm,"Severe Storms, Flooding and Tornadoes",,,
DR-1118,Disaster,1996-06-05,1996.0,6.0,2.0,5.0,Wednesday,ND,North Dakota,Midwest,Barnes County,Storm,"Severe Storms,Flooding, and  Ice Jams",1996-03-12,,
DR-1119,Disaster,1996-06-07,1996.0,6.0,2.0,7.0,Friday,AK,Alaska,West,Matanuska-Susitna Borough,Fire,Wildland Fires,1996-06-02,,
DR-1125,Disaster,1996-07-03,1996.0,7.0,3.0,3.0,Wednesday,IN,Indiana,Midwest,Brown County,Storm,Severe Storms and Flooding,,,
DR-1126,Disaster,1996-07-11,1996.0,7.0,3.0,11.0,Thursday,VI,Virgin Islands,Territory,St. Croix Island County-equivalent,Hurricane,Hurricane Bertha,1996-07-08,1996-07-09,2011-02-09
DR-1131,Disaster,1996-08-02,1996.0,8.0,3.0,2.0,Friday,WI,Wisconsin,Midwest,Fond du Lac County,Flood,"Severe Storms, Flooding and Tornadoes",,,
DR-1134,Disaster,1996-09-06,1996.0,9.0,3.0,6.0,Friday,NC,North Carolina,South,Alamance County,Hurricane,Hurricane Fran,1996-09-05,,
DR-1135,Disaster,1996-09-06,1996.0,9.0,3.0,6.0,Friday,VA,Virginia,South,Bedford,Hurricane,Hurricane Fran and Associated Severe Storm Cond,1996-09-05,,2010-06-02
DR-1136,Disaster,1996-09-11,1996.0,9.0,3.0,11.0,Wednesday,PR,Puerto Rico,Territory,Adjuntas Municipio,Hurricane,Hurricane Hortense,1996-09-09,1996-09-11,2010-11-10
DR-1137,Disaster,1996-09-11,1996.0,9.0,3.0,11.0,Wednesday,WV,West Virginia,South,Berkeley County,Storm,"Hurricane Fran and Associated Heavy Rains,Flooding Highwind",1996-09-05,1996-09-08,
DR-1148,Disaster,1996-12-09,1996.0,12.0,4.0,9.0,Monday,NY,New York,Northeast,Chemung County,Storm,"Severe Storms High Winds, Rain and Flooding",1996-11-08,,2004-12-08
DR-1153,Disaster,1997-01-03,1997.0,1.0,1.0,3.0,Friday,NV,Nevada,West,Carson City,Storm,"Severe Storms, Flooding, Mud and Landslides",,,
DR-1154,Disaster,1997-01-04,1997.0,1.0,1.0,4.0,Saturday,ID,Idaho,West,Adams County,Storm,"Severe Storms, Flooding, Mud and Landslides",,1997-01-03,
DR-1155,Disaster,1997-01-04,1997.0,1.0,1.0,4.0,Saturday,CA,California,West,Alameda County,Storm,"Severe Storms, Flooding, Mud and Landslides",,1997-04-01,2013-07-01
DR-1151,Disaster,1997-01-07,1997.0,1.0,1.0,7.0,Tuesday,MN,Minnesota,Midwest,Cottonwood County,Storm,Severe Ice Storm,,,
DR-1152,Disaster,1997-01-07,1997.0,1.0,1.0,7.0,Tuesday,WA,Washington,West,Klickitat County,Ice,Severe Ice Storm,,1996-12-04,2002-08-02
DR-1156,Disaster,1997-01-10,1997.0,1.0,1.0,10.0,Friday,SD,South Dakota,Midwest,West Washabaugh Unorganized Territory of,Storm,Severe Winter Storms and Blizzard Conditions,1997-01-03,,
DR-1157,Disaster,1997-01-12,1997.0,1.0,1.0,12.0,Sunday,ND,North Dakota,Midwest,Adams County,Storm,Severe Winter Storms and Blizzard Conditions,1997-01-03,,
DR-1162,Disaster,1997-03-02,1997.0,3.0,1.0,2.0,Sunday,AR,Arkansas,South,Baxter County,Storm,Severe Storms and Tornadoes,1997-03-01,1997-03-04,2014-04-02
DR-1163,Disaster,1997-03-04,1997.0,3.0,1.0,4.0,Tuesday,KY,Kentucky,South,Adair County,Storm,"Severe Storm, Flooding, and Tornadoes",1997-03-01,,
DR-1164,Disaster,1997-03-04,1997.0,3.0,1.0,4.0,Tuesday,OH,Ohio,Midwest,Adams County,Storm,Severe Storms and Flooding,,,
DR-1165,Disaster,1997-03-06,1997.0,3.0,1.0,6.0,Thursday,IN,Indiana,Midwest,Clark County,Storm,Severe Storms and Flooding,,,
DR-1167,Disaster,1997-03-07,1997.0,3.0,1.0,7.0,Friday,TN,Tennessee,South,Benton County,Tornado,"Heavy Rains, Tornadoes, Flooding, Hail, High Winds",,,2007-07-03
DR-1168,Disaster,1997-03-07,1997.0,3.0,1.0,7.0,Friday,WV,West Virginia,South,Braxton County,Flood,"Heavy and Wind Driven Rain, High Winds,Flooding,Slides",,,2006-12-08
DR-1166,Disaster,1997-03-11,1997.0,3.0,1.0,11.0,Tuesday,FM,,,Yap County-equivalent,Typhoon,Typhoon Fern,,,
DR-1171,Disaster,1997-04-02,1997.0,4.0,2.0,2.0,Wednesday,TN,Tennessee,South,Bradley County,Storm,Severe Storms and Tornadoes,,,2007-07-03
DR-1172,Disaster,1997-04-02,1997.0,4.0,2.0,2.0,Wednesday,WA,Washington,West,Clallam County,Flood,"Heavy Rains, Snow Melt, Flooding, Land and Mud Slides",,,
DR-1173,Disaster,1997-04-07,1997.0,4.0,2.0,7.0,Monday,SD,South Dakota,Midwest,Aurora County,Flood,"Severe Flooding, Sever Winter Storms,Heavy Rains High Winds",1997-02-03,,
DR-1174,Disaster,1997-04-07,1997.0,4.0,2.0,7.0,Monday,ND,North Dakota,Midwest,Adams County,Flood,"Severe Flooding,Severe Winter Storms, Snowmelt, Spring Rains",,,
DR-1175,Disaster,1997-04-08,1997.0,4.0,2.0,8.0,Tuesday,MN,Minnesota,Midwest,Aitkin County,Flood,"Severe Flooding, High Winds,Severe Storms",,,2010-06-07
DR-1179,Disaster,1997-07-07,1997.0,7.0,3.0,7.0,Monday,TX,Texas,South,Bandera County,Flood,Severe Storms and Flooding,,,2009-03-11
DR-1180,Disaster,1997-07-07,1997.0,7.0,3.0,7.0,Monday,WI,Wisconsin,Midwest,Milwaukee County,Storm,Severe Storms and Flooding,,,
DR-1181,Disaster,1997-07-11,1997.0,7.0,3.0,11.0,Friday,MI,Michigan,Midwest,Genesee County,Storm,"Severe Storms, Tornadoes,and Flooding",1997-07-02,1997-07-02,2008-05-07
DR-1186,Disaster,1997-08-01,1997.0,8.0,3.0,1.0,Friday,CO,Colorado,West,Baca County,Flood,"Severe Storms, Heavy Rain, Flash Floods, Flooding, Mudslides",,1997-08-12,2010-06-01
DR-1190,Disaster,1997-11-01,1997.0,11.0,4.0,1.0,Saturday,NE,Nebraska,Midwest,Adams County,Storm,"Severe Snow Storms, Rain, and Strong Winds",,,2006-09-05
DR-1192,Disaster,1997-12-08,1997.0,12.0,4.0,8.0,Monday,MP,Northern Mariana Islands,Territory,Rota Municipality,Typhoon,Super Typhoon Keith,1997-11-02,1997-11-03,2010-06-07
DR-1195,Disaster,1998-01-06,1998.0,1.0,1.0,6.0,Tuesday,FL,Florida,South,Alachua County,Storm,"Severe Storms, High Winds, Tornadoes, and Flooding",,,2011-06-09
DR-1196,Disaster,1998-01-06,1998.0,1.0,1.0,6.0,Tuesday,NY,New York,Northeast,Clinton County,Snow,Severe Storms and Flooding,1998-01-05,,2005-09-08
DR-1203,Disaster,1998-02-09,1998.0,2.0,1.0,9.0,Monday,CA,California,West,Alameda County,Storm,Severe Winter Storms and Flooding,1998-02-02,,
DR-1204,Disaster,1998-02-12,1998.0,2.0,1.0,12.0,Thursday,FL,Florida,South,Broward County,Storm,"Severe Storms, High Winds, Tornadoes, and Flooding",1998-02-02,1998-02-04,
DR-1206,Disaster,1998-03-03,1998.0,3.0,1.0,3.0,Tuesday,NJ,New Jersey,Northeast,Atlantic County,Storm,"Severe Winter Coastal Storm, High Winds, Flooding",1998-02-04,1998-02-08,2006-04-10
